AnimalID,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A665143,Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Orange Tabby
A666066,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A684764,Adoption,,Cat,Neutered Male,5 months,Siamese Mix,Flame Point
A664253,Return_to_owner,,Dog,Neutered Male,2 years,Black/Tan Hound Mix,Black/Brown
A699612,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Gray/White
A696221,Return_to_owner,,Dog,Neutered Male,8 years,Rat Terrier Mix,Tricolor
A690178,Transfer,Partner,Cat,Intact Female,7 years,Domestic Shorthair Mix,White/Brown Tabby
A708827,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby
A682667,Adoption,,Dog,Neutered Male,2 years,Cairn Terrier/Miniature Schnauzer,Black/White
A701927,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A683279,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A689628,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A665861,Adoption,,Dog,Spayed Female,1 year,Australian Shepherd Mix,White/Red
A709743,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby
A683801,Adoption,,Dog,Neutered Male,2 months,Border Collie/Great Pyrenees,Black/White
A703148,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A709758,Transfer,Partner,Dog,Intact Male,2 months,Miniature Schnauzer Mix,Black/White
A700129,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
A705151,Return_to_owner,,Dog,Spayed Female,3 years,German Shepherd Mix,Black/Brown
A680423,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Brown Tabby
A699086,Adoption,,Dog,Spayed Female,1 year,American Staffordshire Terrier/French Bulldog,Chocolate
A672750,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown Brindle/White
A677078,Adoption,,Dog,Spayed Female,6 years,German Shepherd Mix,Tan/Black
A670392,Return_to_owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
A545644,Return_to_owner,,Dog,Neutered Male,7 years,Miniature Pinscher,Red
A700960,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
A703311,Adoption,,Cat,Neutered Male,1 month,Snowshoe Mix,Seal Point
A692592,Adoption,,Cat,Spayed Female,7 years,Domestic Medium Hair Mix,Calico
A685252,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A671556,Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Calico
A677451,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White
A681512,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan
A693692,Return_to_owner,,Dog,Neutered Male,15 years,Beagle Mix,Tricolor
A682609,Adoption,Foster,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White
A699269,Adoption,Foster,Cat,Neutered Male,10 years,Domestic Longhair Mix,Blue/White
A675858,Adoption,,Dog,Spayed Female,1 month,German Shepherd/Golden Retriever,Sable
A597415,Euthanasia,Aggressive,Dog,Neutered Male,4 years,Plott Hound,Black Brindle
A711849,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
A718801,Return_to_owner,,Dog,Intact Male,1 year,Yorkshire Terrier Mix,Tricolor
A714766,Adoption,,Cat,Intact Female,4 months,Domestic Shorthair Mix,Tortie
A698125,Adoption,,Dog,Neutered Male,2 months,Redbone Hound Mix,Red/White
A672542,Euthanasia,Aggressive,Dog,Neutered Male,5 years,Great Pyrenees,White
A679951,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby
A597455,Return_to_owner,,Cat,Neutered Male,4 years,Domestic Shorthair,Silver Tabby
A686153,Return_to_owner,,Dog,Neutered Male,12 years,Dachshund Mix,Brown
A707878,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A687993,Return_to_owner,,Dog,Spayed Female,6 years,Miniature Schnauzer,White
A696680,Transfer,Partner,Dog,Intact Male,2 years,Labrador Retriever/Pit Bull,Black/Brown
A682945,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A699472,Adoption,,Dog,Spayed Female,2 years,Pembroke Welsh Corgi/Golden Retriever,Tan
A692880,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown
A684702,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby
A709183,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Blue
A688306,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair Mix,Brown Tabby/White
A702637,Transfer,Partner,Cat,Intact Male,3 weeks,Siamese,Seal Point
A695046,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Brown Tabby
A686017,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A666850,Euthanasia,Behavior,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
A682394,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby
A694340,Adoption,,Dog,Spayed Female,8 months,German Shepherd/Labrador Retriever,Chocolate/Black
A682157,Transfer,Partner,Dog,Intact Male,3 months,Jack Russell Terrier Mix,Brown/White
A709542,Transfer,Partner,Dog,Intact Male,1 month,Toy Poodle Mix,Blue/White
A696048,Return_to_owner,,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black/White
A683763,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue Tabby
A718984,Adoption,,Dog,Neutered Male,6 years,Toy Poodle Mix,Apricot
A709307,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A706551,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A686467,Adoption,,Dog,Neutered Male,4 years,Catahoula Mix,White/Tan
A421087,Return_to_owner,,Dog,Spayed Female,11 years,Shetland Sheepdog/Keeshond,White/Brown
A665474,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A718161,Return_to_owner,,Dog,Neutered Male,6 years,Beagle/Dachshund,Black/White
A713629,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A689615,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A704486,Transfer,SCRP,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Black
A676291,Return_to_owner,,Dog,Neutered Male,3 years,Miniature Schnauzer Mix,Silver
A681900,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever/Border Collie,Black/White
A695817,Transfer,Partner,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Black/White
A682815,Adoption,,Dog,Neutered Male,1 year,Jack Russell Terrier Mix,White/Black
A706249,Adoption,,Dog,Spayed Female,5 months,Pit Bull Mix,Blue Tiger
A678835,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White
A676435,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A697605,Return_to_owner,,Dog,Neutered Male,1 year,Australian Shepherd,Black/Brown
A710373,Adoption,,Dog,Intact Female,2 years,Patterdale Terr Mix,Black/White
A672973,Adoption,,Dog,Neutered Male,2 months,Rottweiler Mix,Black/Tan
A672513,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Brown
A716414,Adoption,,Dog,Neutered Male,4 years,Australian Cattle Dog Mix,Black/White
A698161,Adoption,,Dog,Neutered Male,10 months,Rottweiler Mix,Black/Tan
A679047,Transfer,Partner,Cat,Intact Female,4 days,Domestic Shorthair Mix,Calico
A706608,Adoption,,Dog,Intact Male,1 month,Australian Shepherd Mix,Tricolor
A698750,Transfer,Partner,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Tricolor
A616487,Euthanasia,Aggressive,Dog,Neutered Male,4 years,German Shepherd Mix,Tricolor
A703399,Return_to_owner,,Dog,Neutered Male,13 years,Boxer Mix,Brown Brindle
A678575,Transfer,Partner,Dog,Neutered Male,5 years,Shih Tzu,Tan/White
A623403,Adoption,,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Orange Tabby
A706162,Transfer,Partner,Dog,Intact Female,5 months,German Shepherd Mix,Brown/Black
A709631,Adoption,,Dog,Spayed Female,2 years,Australian Kelpie,Tricolor
A705452,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair/Yorkshire Terrier,Yellow/White
A718080,Return_to_owner,,Dog,Spayed Female,1 year,Rottweiler Mix,Black/Tan
A690608,Transfer,Partner,Dog,Neutered Male,8 months,Australian Cattle Dog Mix,White/Brown Brindle
A660596,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black/White
A685333,Adoption,,Dog,Neutered Male,4 months,Rat Terrier Mix,Tricolor
A705788,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby
A704733,Adoption,,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Brown Tabby/White
A710827,Return_to_owner,,Dog,Intact Female,4 months,German Shepherd Mix,White
A667776,Return_to_owner,,Dog,Neutered Male,3 years,Dachshund Mix,Black/White
A704289,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White
A687024,Adoption,,Dog,Neutered Male,2 years,Beagle/Chihuahua Shorthair,Tricolor
A702636,Transfer,Partner,Cat,Intact Male,3 weeks,Siamese,Seal Point
A672234,Adoption,Foster,Dog,Neutered Male,2 months,Boxer/Catahoula,Blue Merle/White
A684123,Adoption,,Dog,Spayed Female,8 months,Border Collie Mix,Black/White
A692001,Adoption,,Dog,Spayed Female,9 months,Weimaraner Mix,Blue
A651567,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
A682417,Adoption,,Cat,Neutered Male,10 months,Domestic Shorthair,Brown Tabby
A708509,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue
A711264,Adoption,Foster,Dog,Neutered Male,1 month,Flat Coat Retriever/Papillon,Black/White
A687473,Transfer,Partner,Dog,Intact Male,1 month,Pit Bull Mix,Black
A712300,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A699262,Adoption,,Dog,Spayed Female,3 years,Staffordshire Mix,White/Black
A700417,Transfer,Partner,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Black/White
A689796,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby
A704582,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A662553,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A641846,Return_to_owner,,Dog,Spayed Female,4 years,Labrador Retriever/Border Collie,Brown
A690899,Adoption,,Cat,Neutered Male,13 years,Siamese Mix,Seal Point
A691878,Transfer,Partner,Dog,Intact Female,1 month,Pit Bull Mix,Brown Brindle
A706848,Adoption,Foster,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Black/White
A692612,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
A670204,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tricolor
A692516,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White
A703473,Adoption,,Cat,Neutered Male,1 month,Domestic Shorthair Mix,White/Brown Tabby
A683906,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A686079,Return_to_owner,,Dog,Neutered Male,2 months,Australian Shepherd Mix,Tricolor
A678178,Return_to_owner,,Dog,Spayed Female,3 years,Golden Retriever Mix,Red
A714534,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,White/Blue
A700979,Adoption,,Dog,Neutered Male,5 years,Miniature Pinscher Mix,Black/Tan
A675574,Adoption,,Cat,Spayed Female,3 years,Russian Blue Mix,Blue
A630148,Return_to_owner,,Cat,Spayed Female,4 years,Domestic Longhair Mix,Tortie
A690148,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Red/White
A705705,Return_to_owner,,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
A712986,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A705270,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Black/White
A558166,Return_to_owner,,Dog,Spayed Female,9 years,Siberian Husky,Red/White
A688321,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby/White
A715182,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
A664301,Adoption,,Dog,Spayed Female,2 months,Anatol Shepherd/Great Pyrenees,White/Tan
A701126,Euthanasia,Suffering,Cat,Unknown,5 years,Domestic Shorthair Mix,Blue Tabby/White
A660090,Adoption,,Cat,Neutered Male,2 years,Siamese Mix,Blue Point
A699675,Adoption,Foster,Dog,Neutered Male,6 years,Labrador Retriever/Greyhound,Black
A671538,Transfer,Partner,Dog,Intact Female,3 months,Plott Hound Mix,Brown Brindle/White
A695543,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby
A705849,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Calico
A675319,Adoption,,Dog,Neutered Male,4 months,Mastiff/Rottweiler,Red/White
A702391,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A720921,Transfer,Partner,Cat,Intact Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
A683935,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A597312,Return_to_owner,,Dog,Neutered Male,4 years,Pit Bull,Brown
A687043,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull Mix,White/Tan
A669639,Return_to_owner,,Dog,Spayed Female,3 years,Plott Hound/Carolina Dog,Brown/Tan
A699487,Transfer,Partner,Dog,Spayed Female,1 year,Norwich Terrier Mix,Buff/White
A699344,Adoption,,Dog,Spayed Female,2 months,Boxer Mix,Tricolor
A580685,Euthanasia,Aggressive,Dog,Spayed Female,4 years,Pit Bull Mix,Brown Brindle/White
A640655,Return_to_owner,,Dog,Spayed Female,4 years,Miniature Schnauzer/Miniature Poodle,White
A689404,Return_to_owner,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black
A664763,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Black/Tan
A716846,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Black
A664806,Adoption,,Dog,Neutered Male,1 year,West Highland Mix,White
A689702,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black
A706709,Adoption,,Dog,Spayed Female,1 year,Jack Russell Terrier/Dachshund Wirehair,White/Brown
A687416,Adoption,,Dog,Neutered Male,2 years,Staffordshire Mix,Chocolate/White
A684463,Adoption,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Black/White
A699302,Transfer,Partner,Dog,Neutered Male,1 year,Carolina Dog/Australian Cattle Dog,Tan
A676790,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby
A692613,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie/White
A715063,Return_to_owner,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Blue/White
A678112,Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair Mix,Blue Tabby
A671698,Adoption,,Dog,Neutered Male,2 months,Collie Smooth Mix,Sable/White
A670181,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A694829,Euthanasia,Rabies Risk,Dog,Spayed Female,2 years,Pit Bull Mix,Tan
A715791,Return_to_owner,,Dog,Neutered Male,2 years,Australian Shepherd Mix,Brown/Black
A683278,Adoption,,Cat,Spayed Female,1 year,Siamese Mix,Lynx Point
A683868,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A671102,Transfer,Partner,Dog,Neutered Male,2 years,Cardigan Welsh Corgi Mix,Tricolor
A708536,Adoption,,Dog,Neutered Male,2 years,Miniature Poodle Mix,Black
A715701,Euthanasia,Suffering,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White
A695230,Return_to_owner,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue
A717270,Adoption,,Dog,Neutered Male,4 years,Golden Retriever/Dachshund,Yellow
A696301,Adoption,,Cat,Neutered Male,1 month,Domestic Medium Hair Mix,Black
A679607,Transfer,Partner,Dog,Intact Male,1 month,Pit Bull Mix,Brown/White
A701085,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
A683762,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby
A711244,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A692062,Transfer,SCRP,Cat,Intact Female,10 months,Domestic Longhair Mix,Tortie
A684688,Adoption,,Dog,Spayed Female,8 months,Chihuahua Shorthair/Cairn Terrier,Cream
A716252,Transfer,Partner,Dog,Intact Female,6 years,Labrador Retriever Mix,Black
A658253,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby
A687227,Adoption,,Dog,Neutered Male,1 year,Jack Russell Terrier Mix,White/Tan
A683469,Transfer,Partner,Dog,Neutered Male,3 years,Border Collie Mix,Brown Brindle/White
A692916,Adoption,,Dog,Spayed Female,7 years,Chihuahua Shorthair Mix,Tan
A707703,Return_to_owner,,Dog,Neutered Male,1 year,Cavalier Span Mix,Red
A680522,Adoption,,Dog,Neutered Male,3 years,Australian Shepherd/Australian Kelpie,Black/Buff
A685112,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
A691742,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,White/Tan
A705968,Return_to_owner,,Dog,Intact Female,2 years,Shih Tzu Mix,Buff/Black
A670589,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Brown
A717156,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
A648320,Return_to_owner,,Dog,Spayed Female,3 years,Pit Bull/Bulldog,Brown/White
A715321,Return_to_owner,,Dog,Spayed Female,6 years,Border Collie Mix,Black/White
A695303,Adoption,,Dog,Spayed Female,8 months,German Shepherd/Labrador Retriever,White
A701753,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White
A710023,Adoption,,Dog,Neutered Male,3 years,Pit Bull Mix,Tan/White
A716949,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Yellow/White
A671779,Adoption,,Dog,Neutered Male,4 months,Miniature Schnauzer Mix,Silver/Black
A700764,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A697709,Return_to_owner,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Gray Tabby
A718774,Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A711955,Transfer,Partner,Dog,Neutered Male,2 months,Dachshund Mix,White/Orange
A676274,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A711307,Transfer,SCRP,Cat,Unknown,5 months,Domestic Shorthair Mix,Black
A702009,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A696087,Return_to_owner,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby/White
A637896,Died,In Kennel,Cat,Neutered Male,3 years,Domestic Longhair Mix,Brown Tabby/White
A685920,Adoption,,Dog,Spayed Female,5 months,German Shepherd Mix,Brown/Black
A674634,Transfer,Partner,Cat,Intact Female,2 weeks,Siamese Mix,Lynx Point
A664968,Return_to_owner,,Dog,Intact Male,1 year,German Shepherd Mix,Tan/Black
A708938,Euthanasia,Suffering,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black
A712224,Adoption,,Dog,Neutered Male,8 years,Miniature Schnauzer Mix,Black/White
A694147,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White
A670503,Adoption,,Dog,Spayed Female,5 years,Shiba Inu Mix,Brown/White
A704911,Adoption,,Dog,Neutered Male,1 month,Pit Bull Mix,Blue/White
A679581,Adoption,,Dog,Neutered Male,2 years,Pug/Chihuahua Shorthair,Black/White
A694480,Adoption,,Dog,Spayed Female,8 months,Pbgv,White/Tan
A707011,Return_to_owner,,Dog,Neutered Male,8 years,Rat Terrier Mix,Tricolor
A684606,Adoption,,Dog,Spayed Female,3 years,Carolina Dog Mix,Tan
A718123,Adoption,,Dog,Neutered Male,2 years,Pekingese Mix,Brown/White
A701332,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Black/White
A678763,Adoption,,Cat,Spayed Female,8 months,Siamese Mix,Lynx Point
A648138,Adoption,,Dog,Spayed Female,11 months,Labrador Retriever Mix,Red
A666838,Return_to_owner,,Dog,Neutered Male,8 years,Basset Hound Mix,White/Tan
A675896,Transfer,Partner,Cat,Spayed Female,2 years,Maine Coon Mix,Brown Tabby
A713142,Transfer,Partner,Dog,Spayed Female,4 months,Labrador Retriever Mix,Brown
A677099,Adoption,,Dog,Neutered Male,1 year,Cocker Spaniel Mix,Buff
A678147,Transfer,Partner,Dog,Intact Female,1 year,Australian Cattle Dog Mix,White/Brown
A665081,Transfer,Partner,Cat,Neutered Male,8 years,Domestic Longhair Mix,Brown Tabby/White
A674396,Transfer,Partner,Cat,Spayed Female,5 years,Siamese Mix,Tortie Point
A702384,Adoption,,Dog,Neutered Male,4 years,Bichon Frise Mix,White
A675699,Return_to_owner,,Dog,Spayed Female,8 years,Jindo Mix,White
A692827,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A710684,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
A658559,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
A709982,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A715745,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A687687,Adoption,,Dog,Spayed Female,10 months,Siberian Husky Mix,Sable/White
A669176,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
A681829,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A701939,Adoption,,Dog,Spayed Female,5 years,Boxer Mix,Brown Brindle/White
A672168,Transfer,Partner,Dog,Intact Female,1 weeks,Yorkshire Terrier Mix,Black/White
A715621,Transfer,Partner,Dog,Intact Female,6 months,Golden Retriever Mix,Cream
A706230,Adoption,,Dog,Neutered Male,4 years,Maltese/Miniature Poodle,White
A660814,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
A665010,Transfer,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Tan/Black
A681302,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A667037,Transfer,Partner,Dog,Neutered Male,10 months,Labrador Retriever/Pit Bull,Brown Brindle/White
A692550,Adoption,,Dog,Spayed Female,6 years,Australian Cattle Dog Mix,Blue Tick
A667257,Euthanasia,Suffering,Dog,Intact Female,7 years,Maltese Mix,White
A680465,Transfer,Partner,Dog,Intact Female,3 years,Shih Tzu Mix,Sable/White
A663696,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Yellow
A697278,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Blue/White
A695484,Return_to_owner,,Dog,Neutered Male,3 years,Dachshund Longhair Mix,Brown/White
A682540,Return_to_owner,,Dog,Neutered Male,2 years,Great Pyrenees/Rottweiler,Red
A719289,Adoption,,Dog,Spayed Female,2 months,English Pointer Mix,White/Brown Brindle
A692783,Transfer,SCRP,Cat,Intact Female,7 months,Domestic Shorthair Mix,Torbie
A691672,Adoption,,Dog,Neutered Male,4 years,Australian Shepherd Mix,Black/Tan
A666902,Return_to_owner,,Dog,Intact Female,5 years,Pit Bull Mix,White/Black Brindle
A689620,Adoption,,Dog,Neutered Male,5 months,Australian Cattle Dog Mix,Blue Tick/Black
A693416,Transfer,Partner,Dog,Spayed Female,5 years,Pit Bull Mix,Chocolate/White
A680511,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Black/White
A720956,Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Yellow
A705889,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A538585,Transfer,Partner,Dog,Spayed Female,5 years,Pit Bull Mix,Red/White
A689245,Transfer,Partner,Dog,Spayed Female,6 months,Chihuahua Longhair Mix,White
A582945,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby
A685548,Euthanasia,Suffering,Dog,Intact Male,4 years,Miniature Poodle Mix,White
A696009,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog/German Shepherd,Black/Brown
A665620,Return_to_owner,,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Tricolor
A709442,Transfer,Partner,Cat,Neutered Male,7 years,Siamese Mix,Seal Point
A715816,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Chocolate/Tan
A718730,Return_to_owner,,Dog,Intact Male,1 year,Boxer Mix,Brown
A707367,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue
A719942,Return_to_owner,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White
A720150,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
A713864,Adoption,,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Black/White
A686078,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby
A693319,Euthanasia,Aggressive,Dog,Intact Male,2 years,Labrador Retriever/Chow Chow,Black
A666397,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan
A672657,Adoption,,Dog,Spayed Female,1 year,Border Collie/Chow Chow,Black/White
A667338,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie/White
A704715,Adoption,Foster,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black
A714148,Adoption,,Dog,Spayed Female,4 years,Miniature Poodle Mix,Black/Tan
A685988,Adoption,Offsite,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A719770,Return_to_owner,,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Tan
A700939,Transfer,Partner,Dog,Neutered Male,4 months,Pit Bull Mix,Black/White
A667929,Adoption,Foster,Dog,Neutered Male,1 month,German Shepherd/Mastiff,Tan
A690894,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue
A701996,Transfer,Partner,Cat,Unknown,1 week,Domestic Medium Hair Mix,Black Tabby
A700602,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Black/White
A308771,Return_to_owner,,Dog,Spayed Female,14 years,Labrador Retriever Mix,Brown
A686191,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
A693769,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A677168,Return_to_owner,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black
